epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.735,1.52885,1.80772,1.22248,0.83754,0.47331,0.55491,0.33112,1.42018,1.33223,1.21604,0.00047442,0.00047442,0.00047442
2,293.089,1.44945,1.18566,1.19083,0.87551,0.50074,0.54598,0.31107,1.42076,1.0847,1.19855,0.000937307,0.000937307,0.000937307
3,436.988,1.43202,1.09429,1.18427,0.91083,0.53716,0.58154,0.35877,1.36999,1.00268,1.19175,0.00138672,0.00138672,0.00138672
4,576.94,1.41406,1.02186,1.17576,0.9255,0.53271,0.59668,0.36446,1.37307,0.87967,1.17856,0.00136837,0.00136837,0.00136837
5,718.689,1.4064,0.98414,1.1733,0.93344,0.54183,0.60011,0.37581,1.35734,0.81733,1.17502,0.00134816,0.00134816,0.00134816
6,862.821,1.38819,0.95832,1.16934,0.92364,0.54285,0.59516,0.36961,1.36067,0.82022,1.17578,0.00132795,0.00132795,0.00132795
7,1002.21,1.36977,0.9117,1.15592,0.92996,0.55856,0.60429,0.35677,1.37033,0.84074,1.18166,0.00130774,0.00130774,0.00130774
8,1143.45,1.36526,0.8966,1.14626,0.93717,0.54741,0.60323,0.37851,1.33303,0.77389,1.16027,0.00128753,0.00128753,0.00128753
9,1285.5,1.35288,0.87857,1.1388,0.94719,0.54908,0.61196,0.38249,1.33416,0.75686,1.15576,0.00126732,0.00126732,0.00126732
10,1425.61,1.33869,0.86278,1.14509,0.93791,0.55795,0.61041,0.387,1.30747,0.74032,1.15138,0.00124711,0.00124711,0.00124711
11,1564.82,1.32959,0.84012,1.13851,0.93949,0.57092,0.61588,0.38422,1.31661,0.74213,1.14534,0.0012269,0.0012269,0.0012269
12,1705.76,1.33366,0.8385,1.13999,0.93883,0.57298,0.61825,0.39081,1.30929,0.73205,1.15243,0.00120669,0.00120669,0.00120669
13,1845.42,1.30967,0.82065,1.12657,0.93856,0.56071,0.61383,0.38275,1.32904,0.73391,1.15381,0.00118648,0.00118648,0.00118648
